type,user,text,files,timestamp,date,time,year
message,UD9L1D44T,"['!', 'i’m', 'pretty', 'it’s', 'possible', 'define', 'units', 'equivalences', 'user-end,', 'can’t', 'find', 'back', 'it’s', 'done', 'cookbook...', 'little', 'help', '?']",,2019-11-21 07:38:50.160000,2019-11-21,07:38:50.160000,2019
message,U042FH0RB,"['don’t', 'actually', 'think', 'public', 'api', 'poke', 'around', 'code', 'figure']",,2019-11-21 09:02:58.161000,2019-11-21,09:02:58.161000,2019
message,U046K2QNK,"['~CODESNIPPET', ""i'm"", 'trying', 'write', 'code', 'automagically', 'check', '~CODESNIPPET', 'version', ""we're"", 'deal', 'octrees', 'accordingly.', 'reasonable', 'check,', 'better', 'discern', '(in', 'code)', ""we're"", '3.x', '4.x?', '~CODESNIPPET`if', 'yt.__version__', '==', ""'4.0.dev0':"", 'blah~CODESNIPPET`']",,2019-11-21 19:48:39.162300,2019-11-21,19:48:39.162300,2019
message,U042FH0RB,"['that’ll', 'break', 'yt-4.0', 'comes']",,2019-11-22 00:02:55.162800,2019-11-22,00:02:55.162800,2019
message,U042FH0RB,"['maybe', 'check', 'first', 'digit', 'version', 'string?']",,2019-11-22 00:03:07.163300,2019-11-22,00:03:07.163300,2019
message,U042FH0RB,"['yt', 'internally', 'version', 'checks']",,2019-11-22 00:03:32.163800,2019-11-22,00:03:32.163800,2019
message,U042FH0RB,['~HYPERLINK'],,2019-11-22 00:04:58.164000,2019-11-22,00:04:58.164000,2019
message,U042FH0RB,"['less', 'than', 'greater', 'than', 'comparisons']",,2019-11-22 00:05:03.164300,2019-11-22,00:05:03.164300,2019
message,U042FH0RB,"['i’d', 'check', 'make', 'looseversion', 'thing', 'dev0', 'version', 'number']",,2019-11-22 00:05:31.165200,2019-11-22,00:05:31.165200,2019
message,UD9L1D44T,"['ah.', 'maybe', 'misremember', 'something', 'saw', 'exposed', 'developing', 'frontend...']",,2019-11-22 02:43:08.166300,2019-11-22,02:43:08.166300,2019
message,U010QGDBUV6,"['everyone,', ""i'm"", 'using', 'yt', 'run', 'rockstar', 'halo', 'finder.', 'somehow', 'possible', 'output', 'particle', 'data', 'each', 'halo?', 'according', 'rockstar', ""user's"", 'guide', 'doable', ""couldn't"", 'figure', 'yt.', 'thanks', 'advance', 'support!']",,2020-03-25 03:23:58.002900,2020-03-25,03:23:58.002900,2020
message,U042S6Y2G,"['benedikt,', 'version', 'rockstar', 'yt', 'uses', 'bit', 'older', 'support', 'although', 'contained', 'within', 'binary', 'outputs.', 'yt', 'doesn’t', 'currently', 'capability', 'read', 'much', 'know', 'sure.', 'separately,', 'rockstar-galaxies', '(the', 'latest', 'rockstar', 'i’m', 'aware', 'of)', 'output', 'particles', 'default.', 'run', 'standalone,', 'though.']",,2020-03-25 12:45:29.003100,2020-03-25,12:45:29.003100,2020
message,U010SCNQYJ1,"['~USER', 'joined', 'channel']",,2020-03-25 16:21:25.003400,2020-03-25,16:21:25.003400,2020
message,U042F73R7,"['~USER', 'welcome!', ""i'm"", 'glad', 'see', 'here!']",,2020-03-25 16:23:20.003800,2020-03-25,16:23:20.003800,2020
message,U046K2QNK,"['depending', 'nature', 'simulations,', 'useful', 'tool', 'written', '~USER', 'help', 'analyze', 'rs', 'output:', '~HYPERLINK']",,2020-03-25 16:30:35.003900,2020-03-25,16:30:35.003900,2020
message,U050EK2TC,"['~USER', 'joined', 'channel']",,2020-03-25 16:30:41.004300,2020-03-25,16:30:41.004300,2020
message,U010SCNQYJ1,"['~USER', 'thank', 'very', 'much']",,2020-03-26 00:50:38.004800,2020-03-26,00:50:38.004800,2020
message,U37DTBL6N,"['folks!', ""i'm"", 'trying', 'create', 'particle', 'field', 'derived', 'particle', 'field,', 'seems', ""can't"", 'that.']",,2018-08-28 15:49:44.000100,2018-08-28,15:49:44.000100,2018
message,U37DTBL6N,"['more', 'precise,', 'derived', 'particle', 'field', 'named', '~CODESNIPPET', 'derives', '~CODESNIPPET.', ""i'm"", 'trying', 'create', 'field', 'called', '~CODESNIPPET', ""i'd"", 'avoid', 'requiring', '~CODESNIPPET']",,2018-08-28 15:51:00.000100,2018-08-28,15:51:00.000100,2018
message,U042J5BN6,"['i’m', 'confused.', 'derived', 'particle', 'field', 'it’s', 'deriving', 'quantities', 'grid-based', 'field', '(i.e.,', '~CODESNIPPET)?']",,2018-08-28 15:52:40.000100,2018-08-28,15:52:40.000100,2018
message,U042FH0RB,"['field', 'definition', 'look', 'like?']",,2018-08-28 15:53:27.000100,2018-08-28,15:53:27.000100,2018
message,U37DTBL6N,"['more', 'precise.', '""raw""', 'particle', '(~CODESNIPPET)', 'derived', 'one', '(~CODESNIPPET).', ""i'd"", 'exact', 'operation', 'particle-on-grid', 'deposition', '(grid-on-particle', 'deposition),', 'access', 'e.g.', 'temperature', 'cell', 'containing', 'each', '~CODESNIPPET.']",,2018-08-28 15:54:42.000100,2018-08-28,15:54:42.000100,2018
message,U042FH0RB,"['(use', 'gist', 'code)']",,2018-08-28 15:55:17.000100,2018-08-28,15:55:17.000100,2018
message,U042FH0RB,"['i’m', 'support', 'atm']",,2018-08-28 15:55:23.000100,2018-08-28,15:55:23.000100,2018
message,U042FH0RB,"['actually,', 'huh,', 'think', 'something', 'something', 'similar']",,2018-08-28 15:55:40.000100,2018-08-28,15:55:40.000100,2018
message,U042FH0RB,"['see', 'find', 'example']",,2018-08-28 15:55:46.000100,2018-08-28,15:55:46.000100,2018
message,U042FH0RB,"['look', '~CODESNIPPET', 'particle', 'deposit', 'operation']",,2018-08-28 15:57:00.000100,2018-08-28,15:57:00.000100,2018
message,U042FH0RB,"['presumably', 'generalize', 'allow', 'getting', 'value', 'field', 'instead', 'grid']",,2018-08-28 15:57:20.000100,2018-08-28,15:57:20.000100,2018
message,U37DTBL6N,[],python,2018-08-28 15:57:55.000100,2018-08-28,15:57:55.000100,2018
message,U37DTBL6N,['~HYPERLINK'],,2018-08-28 15:57:55.000200,2018-08-28,15:57:55.000200,2018
message,U042FH0RB,"['although', 'guess', 'looking', 'we’d', 'substantial', 'refactor,', 'since', 'there’s', 'field', 'data']",,2018-08-28 15:57:56.000400,2018-08-28,15:57:56.000400,2018
message,U042FH0RB,"['think', '~USER', 'ideas', 'vague', 'memories', 'conversation', 'something', 'similar']",,2018-08-28 15:58:21.000100,2018-08-28,15:58:21.000100,2018
message,U37DTBL6N,['actually'],,2018-08-28 15:58:32.000100,2018-08-28,15:58:32.000100,2018
message,U042FH0RB,[],,2018-08-28 15:58:50.000100,2018-08-28,15:58:50.000100,2018
message,U37DTBL6N,"['gave', 'try', 'using', '~CODESNIPPET', 'never', 'succeeded.', 'essentially', 'bit', 'lost', 'part', 'code', ""couldn't"", 'ahve', 'access', 'field', 'data', 'there.']",,2018-08-28 15:59:35.000100,2018-08-28,15:59:35.000100,2018
message,U042FH0RB,"['said,', 'we’d', 'substantial', 'refactor', 'working']",,2018-08-28 16:00:15.000100,2018-08-28,16:00:15.000100,2018
message,U042FH0RB,"['don’t', 'see', 'anything', 'obviously', 'wrong', 'code', 'you’re', 'something', 'i’m', 'pretty', 'one', 'tried', 'before']",,2018-08-28 16:00:46.000100,2018-08-28,16:00:46.000100,2018
message,U042FH0RB,"['wrong', 'try', 'this?']",,2018-08-28 16:01:49.000100,2018-08-28,16:01:49.000100,2018
message,U37DTBL6N,"['works,', 'show', 'output']",,2018-08-28 16:02:34.000100,2018-08-28,16:02:34.000100,2018
message,U37DTBL6N,"['~CODESNIPPET`', '&gt;', ""sp['gas_tracer',"", ""'cell_density']"", 'derived', 'field', '(io,', 'cell_density):', '(units:', 'mp/cm**3,', 'particle', 'field)', 'npart=11180202', 'ncell=1089077', 'derived', 'field', '(io,', 'cell_density):', '(units:', 'mp/cm**3,', 'particle', 'field)', 'npart=11180202', 'ncell=1089077', 'derived', 'field', '(io,', 'cell_density):', '(units:', 'mp/cm**3,', 'particle', 'field)', 'npart=11180202', 'ncell=1089077', 'derived', 'field', '(io,', 'cell_density):', '(units:', 'mp/cm**3,', 'particle', 'field)', 'npart=11180202', 'ncell=1089077', 'ytarray([2.61569105e-05,', '2.52232177e-05,', '2.57807361e-05,', '...,', '8.77901157e-05,', '8.77901157e-05,', '7.21347805e-05])', 'mp/cm**3', '~CODESNIPPET`']",,2018-08-28 16:03:34.000100,2018-08-28,16:03:34.000100,2018
message,U042FH0RB,"['-', 'supposed', 'see', 'here?']",,2018-08-28 16:04:55.000100,2018-08-28,16:04:55.000100,2018
message,U042FH0RB,"['fact', 'multiple', 'prints', 'happening?']",,2018-08-28 16:05:16.000100,2018-08-28,16:05:16.000100,2018
message,U37DTBL6N,"['issue', 'only', 'performance-wise.', 'only', 'care', '~1e5', 'gas', 'tracer', 'particles', ""it's"", 'first', 'sampling', 'cell', '1e7', 'io', 'cells']",,2018-08-28 16:05:46.000100,2018-08-28,16:05:46.000100,2018
message,U042FH0RB,"['see', ':slightly_smiling_face:']",,2018-08-28 16:06:33.000100,2018-08-28,16:06:33.000100,2018
message,U042FH0RB,"['thanks,', 'clears', 'things']",,2018-08-28 16:06:37.000100,2018-08-28,16:06:37.000100,2018
message,U37DTBL6N,"['guess', 'yt', 'internally', 'masks', 'gas', 'tracers']",,2018-08-28 16:06:39.000100,2018-08-28,16:06:39.000100,2018
message,U042FH0RB,[],,2018-08-28 16:06:44.000100,2018-08-28,16:06:44.000100,2018
message,U042FH0RB,"['~CODESNIPPET', 'implemented', 'particle', 'filter', 'ramses', 'frontend,', 'right?']",,2018-08-28 16:07:03.000100,2018-08-28,16:07:03.000100,2018
message,U37DTBL6N,[],,2018-08-28 16:07:11.000100,2018-08-28,16:07:11.000100,2018
message,U042FH0RB,"['i’m', 'offhand', 'why', 'it’s', 'giving', 'data', 'particle', 'filter', 'derived', 'field', 'definition,', 'i’d', 'poke', 'debugger']",,2018-08-28 16:08:06.000100,2018-08-28,16:08:06.000100,2018
message,U042FH0RB,"['make', 'runnable', 'example', 'able', 'give', 'more', 'concrete', 'advice']",,2018-08-28 16:08:32.000100,2018-08-28,16:08:32.000100,2018
message,U37DTBL6N,"['_working', 'it_']",,2018-08-28 16:08:56.000100,2018-08-28,16:08:56.000100,2018
message,U37DTBL6N,[],binary,2018-08-28 16:16:30.000100,2018-08-28,16:16:30.000100,2018
message,U37DTBL6N,"['posted', 'simple', 'example', 'channel']",,2018-08-28 16:18:34.000100,2018-08-28,16:18:34.000100,2018
message,U37DTBL6N,"['note', 'example,', 'pointless', 'particles', 'stars']",,2018-08-28 16:19:08.000100,2018-08-28,16:19:08.000100,2018
message,U042FH0RB,"['relevant', 'code', 'here:']",,2018-08-28 16:23:27.000100,2018-08-28,16:23:27.000100,2018
message,U042FH0RB,['~HYPERLINK'],,2018-08-28 16:23:45.000100,2018-08-28,16:23:45.000100,2018
message,U042FH0RB,"['case', '~CODESNIPPET', '~CODESNIPPET', 'field']",,2018-08-28 16:24:15.000100,2018-08-28,16:24:15.000100,2018
message,U042FH0RB,"['filtering', 'after', 'generating', 'field', 'data']",,2018-08-28 16:24:28.000100,2018-08-28,16:24:28.000100,2018
message,U042FH0RB,"['guess', 'principle', 'don’t', 'derived', 'particle', 'fields']",,2018-08-28 16:24:39.000100,2018-08-28,16:24:39.000100,2018
message,U042FH0RB,"['maybe', 'modify', 'logic', 'only', 'on-disk', 'particle', 'fields']",,2018-08-28 16:24:54.000100,2018-08-28,16:24:54.000100,2018
message,U37DTBL6N,"['mmh', ""i'm"", 'going', 'drop', 'debugger', 'see']",,2018-08-28 16:33:35.000100,2018-08-28,16:33:35.000100,2018
message,UCJ2MN5KR,"['~USER', 'joined', 'channel']",,2018-08-28 18:52:44.000200,2018-08-28,18:52:44.000200,2018
message,U4ESETP43,"['feel', 'i’m', 'missing', 'something', 'obvious:', 'star', 'formation', 'rate', '_now_?', '~CODESNIPPET', 'gives', 'array', 'vs', 'time,', 'most', 'recent', '~CODESNIPPET', 'e.g.,', '~CODESNIPPET,', '~CODESNIPPET', '?']",,2019-09-16 14:45:17.000300,2019-09-16,14:45:17.000300,2019
message,U37DTBL6N,"['hey!', 'possible', 'particle', 'dataset', 'loaded', 'using', '~CODESNIPPET', '~CODESNIPPET?']",,2019-04-18 05:36:22.002400,2019-04-18,05:36:22.002400,2019
message,U042FH0RB,"['don’t', 'think', 'works', 'yt-3.x,', 'work', 'yt-4.0,', '~USER', 'open', 'pr', 'makes', 'workflow', 'more', 'straightforward']",,2019-04-18 10:27:08.003200,2019-04-18,10:27:08.003200,2019
message,UJ03VTZKN,"['~USER', 'joined', 'channel']",,2019-04-18 13:03:51.003400,2019-04-18,13:03:51.003400,2019
message,UKY0KU3ML,"['~USER', 'joined', 'channel']",,2019-06-25 12:18:01.047400,2019-06-25,12:18:01.047400,2019
message,UKY0KU3ML,"[""i'm"", 'trouble', 'installing', 'yt', 'home', 'directory', 'secure', 'shell?']",,2019-06-25 12:18:52.048000,2019-06-25,12:18:52.048000,2019
message,U042HLT7U,"['~USER', 'so?']",,2019-06-25 15:28:35.048200,2019-06-25,15:28:35.048200,2019
