year,text
2019,hi im pretty sure its possible to define units equivalences from the userend but i cant find back how its done in the cookbook little help
2019,i dont actually think there is a public api to do that you may need to poke around in the code to figure this out
2019,in codesnippet im trying to write code that will automagically check what codesnippet version were on and then deal with the octrees accordingly is this reasonable as a check or is there a better way to discern in code if were on 3x or 4xcodesnippetif yt__version__ 40dev0 blahcodesnippet
2019,thatll break when yt40 comes out
2019,maybe just check the first digit of the version string
2019,you could also do what yt does internally for version checks
2019,hyperlink
2019,and just do less than and greater than comparisons
2019,id check to make sure looseversion does the right thing with the dev0 version number
2019,ah maybe i misremember something i saw as exposed when developing my frontend
2020,hi everyoneim using yt to run the rockstar halo finder is it somehow possible to output the particle data of each halo according to the rockstar users guide this is doable but i couldnt figure out how in yt thanks in advance for your support
2020,hi benedikt the version of rockstar that yt uses is a bit older and may not support this although it could be contained within the binary outputs yt doesnt currently have the capability to read it in that much i know for sureseparately rockstargalaxies the latest rockstar im aware of does output particles by default you have to run it standalone though
2020,user has joined the channel
2020,user hi and welcome im glad to see you here
2020,depending on the nature of your simulations this might be a useful tool written by user that can help you analyze rs outputhyperlink
2020,user has joined the channel
2020,user thank you very much
2018,hey folks im trying to create a particle field but for a derived particle field but it seems that i cant do that
2018,to be more precise i have a derived particle field named codesnippet which derives from codesnippet im trying to create a field called codesnippet but id like to avoid requiring codesnippet
2018,im confused this is a derived particle field but its deriving its quantities from a gridbased field ie codesnippet
2018,what does your field definition look like
2018,let me be more precise for now i have the raw particle codesnippet and a derived one codesnippet and id like to do the exact operation as a particleongrid deposition gridonparticle deposition so that i could access eg the temperature of the cell containing each codesnippet
2018,use a gist for the code
2018,im not sure we support that atm
2018,actually huh i think there is something that does something similar
2018,let me see if i can find the example
2018,you want to look at the codesnippet particle deposit operation
2018,presumably we could generalize that to allow getting the value of any field instead of just the grid id
2018,
2018,hyperlink there you go
2018,although i guess looking at it wed need to do a substantial refactor since theres no way to get field data there
2018,i think user had ideas about this i have vague memories of a conversation about something similar
2018,actually that was with me
2018,ah
2018,i gave a try at using codesnippet but never succeeded essentially i was a bit lost in that part of the code and couldnt ahve access to the the field data there
2018,yeah like i said wed need a substantial refactor to get that working
2018,i dont see anything obviously wrong in your code but youre doing something im pretty sure no one has tried before
2018,what goes wrong when you try to use this
2018,it works but let me show you the output
2018,codesnippetgt spgas_tracer cell_densityderived field io cell_density units mpcm3 particle field npart11180202 ncell1089077derived field io cell_density units mpcm3 particle field npart11180202 ncell1089077derived field io cell_density units mpcm3 particle field npart11180202 ncell1089077derived field io cell_density units mpcm3 particle field npart11180202 ncell1089077ytarray261569105e05 252232177e05 257807361e05 877901157e05 877901157e05 721347805e05 mpcm3codesnippet
2018,ok what am i supposed to see here
2018,the fact that there are multiple prints happening
2018,so the issue is only performancewise i only care about the 1e5 gas tracer particles but here its first sampling the cell on all the 1e7 io cells
2018,ah i see slightly_smiling_face
2018,thanks that clears things up
2018,and then i guess yt internally masks all but the gas tracers
2018,yeah
2018,codesnippet is implemented as a particle filter in the ramses frontend right
2018,yup
2018,im not sure offhand why its not giving you data for the particle filter in your derived field definition id need to poke at it with a debugger
2018,if you can make a runnable example i might be able to give more concrete advice
2018,_working on it_
2018,
2018,i posted a simple example on the channel
2018,note that in the example it is pointless as all the particles are stars
2018,so the relevant code is here
2018,hyperlink
2018,in this case codesnippet is the codesnippet field
2018,and then we do the filtering after generating the field data
2018,i guess in principle we dont need to do this for derived particle fields
2018,so maybe you need to modify this logic to only do this for ondisk particle fields
2018,mmh im going to drop a debugger there and see what is what
2018,user has joined the channel
2019,ok i feel like im missing something obvious how do i get the star formation rate _now_ doing like codesnippet gives me an array vs time but the most recent codesnippet is eg codesnippet not codesnippet
2019,hey is it possible to use a particle dataset loaded using codesnippet with codesnippet
2019,i dont think that works in yt3x it does work in yt40 user has an open pr that makes that workflow a lot more straightforward too
2019,user has joined the channel
2019,user has joined the channel
2019,im having trouble with installing yt in my home directory of a secure shell
2019,user how so
2020,hey codesnippet needs to be set as a field parameter for a data container in codesnippet the codesnippet function get called on a bunch of vector fields including velocity
2020,ah so if i read the tests correctly its up to the user to set the bulk velocity
2020,hey im trying to plot mass enclosed as a function of radius from different simulations on the same panel is this possible with yt
2020,yeah thats right
2020,user its possible to generate the values but probably better to grab them from the codesnippet and codesnippet attributes on multiple profile objects and use matplotlib directly
2020,thanks a lot
2020,user has joined the channel
2020,hi is anybody familiar with this error message
